symbol,timeframe,strategy,params,return_pct,buy_hold_pct,sharpe,max_dd_pct,trades,win_rate_pct
BTC,1h,sma,"fast=20,slow=50",-13.079092320000019,-20.941843515787298,-4.137910857227012,-18.20494007295519,21,19.047619047619047
SOL,1h,sma,"fast=20,slow=50",-40.34477001168003,-36.54968572283747,-21.63970419588858,-40.59589638608002,25,24.0
BTC,15m,sma,"fast=8,slow=40",-8.021324479999999,-23.046416801653354,-6.570631194269313,-11.630515519999996,37,16.216216216216218
BTC,15m,sma,"fast=8,slow=50",-3.5470869600000094,-22.995662672151674,-1.8640251017477232,-10.186480072747717,27,25.925925925925924
BTC,15m,sma,"fast=8,slow=80",-2.8248215999999546,-22.973275187297325,-1.4579812586333516,-9.271818585221169,20,30.0
BTC,15m,sma,"fast=8,slow=120",-6.848544479999982,-22.32533489693744,-6.081811641258476,-11.311579770372127,18,27.77777777777778
BTC,15m,sma,"fast=8,slow=200",-2.810544160000014,-21.20764989819962,-2.9566986647808324,-6.841334546288669,9,33.33333333333333
BTC,15m,sma,"fast=12,slow=40",-8.391364639999997,-23.046416801653354,-6.462157761925065,-12.387404788089507,31,32.25806451612903
BTC,15m,sma,"fast=12,slow=50",-3.065597519999987,-22.995662672151674,-1.546788977678413,-10.646018169185522,25,20.0
BTC,15m,sma,"fast=12,slow=80",-2.294645679999993,-22.973275187297325,-1.1673502176240251,-9.734571092129018,17,35.294117647058826
BTC,15m,sma,"fast=12,slow=120",-3.0680308000000194,-22.32533489693744,-2.07067470766785,-8.496108212876042,14,28.57142857142857
BTC,15m,sma,"fast=12,slow=200",-5.115394560000009,-21.20764989819962,-6.337941962891708,-9.362955880372503,6,16.666666666666664
BTC,15m,sma,"fast=20,slow=40",-6.539519920000014,-23.046416801653354,-4.681994311628471,-12.860352320934854,28,32.142857142857146
BTC,15m,sma,"fast=20,slow=50",-2.408043999999994,-22.995662672151674,-1.1552251550967265,-12.915679372046506,19,31.57894736842105
BTC,15m,sma,"fast=20,slow=80",-2.7696937599999947,-22.973275187297325,-1.4061875721085209,-9.509627224629224,14,42.857142857142854
BTC,15m,sma,"fast=20,slow=120",-3.380020160000003,-22.32533489693744,-2.7816337715109927,-9.040670711109232,10,40.0
BTC,15m,sma,"fast=20,slow=200",-10.358629440000025,-21.20764989819962,-18.41777064688361,-14.249165184942647,6,16.666666666666664
BTC,15m,sma,"fast=30,slow=40",1.6034668800000103,-23.046416801653354,0.5196305090018903,-9.343762151163581,30,40.0
BTC,15m,sma,"fast=30,slow=50",2.1597401599999984,-22.995662672151674,0.6422233039972269,-9.185402203523108,19,52.63157894736842
BTC,15m,sma,"fast=30,slow=80",-2.4409293599999975,-22.973275187297325,-1.2350545366272059,-7.603089514302019,12,33.33333333333333
BTC,15m,sma,"fast=30,slow=120",-6.241086479999987,-22.32533489693744,-6.606678935334136,-9.489093581733155,10,30.0
BTC,15m,sma,"fast=30,slow=200",-6.314108159999991,-21.20764989819962,-9.010767719175968,-9.745593291616384,5,20.0
BTC,15m,rsi_mr,"lower=20,upper=60,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=60,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=60,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=65,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=65,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=65,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=70,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=70,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=70,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=75,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=75,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=20,upper=75,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=60,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=60,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=60,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=65,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=65,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=65,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=70,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=70,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=70,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=75,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=75,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=25,upper=75,trend=100",0.0,-22.697534535579223,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=60,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=60,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=60,trend=100",0.6560523199999938,-22.697534535579223,3.833763736305671,-1.4153496000000043,1,100.0
BTC,15m,rsi_mr,"lower=30,upper=65,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=65,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=65,trend=100",1.2030143999999972,-22.697534535579223,5.28659160528866,-1.4153496000000043,1,100.0
BTC,15m,rsi_mr,"lower=30,upper=70,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=70,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=70,trend=100",1.8884655999999957,-22.697534535579223,4.800362724749176,-1.4153496000000043,1,100.0
BTC,15m,rsi_mr,"lower=30,upper=75,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=75,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=30,upper=75,trend=100",2.117881919999991,-22.697534535579223,4.591616033011891,-1.4153496000000043,1,100.0
BTC,15m,rsi_mr,"lower=35,upper=60,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=60,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=60,trend=100",-18.653075359999992,-22.697534535579223,-45.61797280678364,-25.816372173737633,3,33.33333333333333
BTC,15m,rsi_mr,"lower=35,upper=65,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=65,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=65,trend=100",-18.94094487999999,-22.697534535579223,-45.76307398418446,-27.313237845626205,3,33.33333333333333
BTC,15m,rsi_mr,"lower=35,upper=70,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=70,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=70,trend=100",-16.512774080000003,-22.697534535579223,-28.1723197173427,-25.48028889702858,2,50.0
BTC,15m,rsi_mr,"lower=35,upper=75,trend=20",0.0,-23.126283367556468,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=75,trend=50",0.0,-22.995662672151674,,-0.0,0,
BTC,15m,rsi_mr,"lower=35,upper=75,trend=100",-15.010678319999984,-22.697534535579223,-19.147308548327544,-25.48028889702858,2,50.0
BTC,1h,sma,"fast=8,slow=40",-27.35508199999998,-20.696999700660847,-10.528709691558655,-29.386540181714828,37,21.62162162162162
BTC,1h,sma,"fast=8,slow=50",-25.93206495999999,-20.941843515787298,-10.224779461977613,-27.80278489519055,31,22.58064516129032
BTC,1h,sma,"fast=8,slow=80",-15.092211759999955,-21.362437637710777,-4.641569207467648,-17.4213937599621,21,14.285714285714285
BTC,1h,sma,"fast=8,slow=120",-17.95574095999998,-24.097235231242216,-6.291325156469283,-19.593380673561466,17,11.76470588235294
BTC,1h,sma,"fast=8,slow=200",-14.892688959999989,-24.457678050492422,-5.269119078712674,-16.56586536254333,17,11.76470588235294
BTC,1h,sma,"fast=12,slow=40",-27.26241399999999,-20.696999700660847,-10.687829411962309,-28.982348863417517,31,19.35483870967742
BTC,1h,sma,"fast=12,slow=50",-23.60866440000001,-20.941843515787298,-8.08679309750417,-25.066409187240268,27,22.22222222222222
BTC,1h,sma,"fast=12,slow=80",-10.505852400000022,-21.362437637710777,-2.9650770731711162,-17.42031411607783,18,22.22222222222222
BTC,1h,sma,"fast=12,slow=120",-11.732205999999982,-24.097235231242216,-3.8286208388877747,-14.343700171922947,13,15.384615384615385
BTC,1h,sma,"fast=12,slow=200",-14.721618559999996,-24.457678050492422,-5.3082462887717226,-17.234608914980733,14,14.285714285714285
BTC,1h,sma,"fast=20,slow=40",-25.341705599999997,-20.696999700660847,-9.192340509688277,-27.387207136504156,30,20.0
BTC,1h,sma,"fast=20,slow=50",-13.079092320000019,-20.941843515787298,-4.137910857227012,-18.20494007295519,21,19.047619047619047
BTC,1h,sma,"fast=20,slow=80",-9.852753359999996,-21.362437637710777,-2.8962109477462903,-13.84429103999999,16,18.75
BTC,1h,sma,"fast=20,slow=120",-13.653069839999999,-24.097235231242216,-4.650242992413764,-15.197168782441839,12,25.0
BTC,1h,sma,"fast=20,slow=200",-13.09186784000001,-24.457678050492422,-4.407228020272562,-15.240758382519914,11,18.181818181818183
BTC,1h,sma,"fast=30,slow=40",-22.486424479999965,-20.696999700660847,-7.992069676516993,-27.981624696727604,33,30.303030303030305
BTC,1h,sma,"fast=30,slow=50",-9.172019200000015,-20.941843515787298,-2.26066179480212,-15.83784199558227,24,37.5
BTC,1h,sma,"fast=30,slow=80",-8.045732800000033,-21.362437637710777,-2.033175949592607,-9.82705175848938,13,15.384615384615385
BTC,1h,sma,"fast=30,slow=120",-12.28831216000003,-24.097235231242216,-3.472677502199114,-12.853771851691365,12,33.33333333333333
BTC,1h,sma,"fast=30,slow=200",-16.55438071999999,-24.457678050492422,-6.491534420950897,-16.717702635199394,11,9.090909090909092
BTC,1h,rsi_mr,"lower=20,upper=60,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=60,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=60,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=65,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=75,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=75,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=20,upper=75,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=60,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=60,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=60,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=65,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=75,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=75,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=25,upper=75,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=60,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=60,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=60,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=65,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
